"PROBEID","GENENAME","SYMBOL"
"1367784_a_at","clusterin","Clu"
"1367785_at","calponin 1","Cnn1"
"1367786_at","proteasome 20S subunit beta 8","Psmb8"
"1367789_at","solute carrier family 27 member 1","Slc27a1"
"1367794_at","alpha-2-macroglobulin","A2m"
"1367804_at","amyloid P component, serum","Apcs"
"1367807_at","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1","Plod1"
"1367810_at","solute carrier family 6 member 8","Slc6a8"
"1367811_at","phosphoglycerate dehydrogenase","Phgdh"
"1367814_at","ATPase Na+/K+ transporting subunit beta 1","Atp1b1"
"1367815_at","solute carrier family 5 member 6","Slc5a6"
"1367820_at","BAF nuclear assembly factor 1","Banf1"
"1367823_at","TIMP metallopeptidase inhibitor 2","Timp2"
"1367825_at","ral guanine nucleotide dissociation stimulator","Ralgds"
"1367826_at","NFE2 like bZIP transcription factor 2","Nfe2l2"
"1367829_at","enoyl-CoA hydratase, short chain 1","Echs1"
"1367830_a_at","tumor protein p53","Tp53"
"1367831_at","tumor protein p53","Tp53"
"1367832_at","lysophospholipase 1","Lypla1"
"1367834_at","spermidine synthase","Srm"
"1367838_at","cystathionine gamma-lyase","Cth"
"1367839_at","farnesyl diphosphate farnesyl transferase 1","Fdft1"
"1367843_at","aldo-keto reductase family 7, member A2","Akr7a2"
"1367844_at","G protein subunit alpha i2","Gnai2"
"1367846_at","S100 calcium-binding protein A4","S100a4"
"1367850_at","Fc gamma receptor 2A","Fcgr2a"
"1367852_s_at","glycoprotein Ib platelet subunit beta","Gp1bb"
"1367854_at","ATP citrate lyase","Acly"
"1367855_at","scavenger receptor class B, member 1","Scarb1"
"1367856_at","glucose-6-phosphate dehydrogenase","G6pd"
"1367857_at","fatty acid desaturase 1","Fads1"
"1367858_at","matrix metallopeptidase 11","Mmp11"
"1367859_at","transforming growth factor, beta 3","Tgfb3"
"1367871_at","cytochrome P450, family 2, subfamily e, polypeptide 1","Cyp2e1"
"1367873_at","ATPase H+ transporting accessory protein 1","Atp6ap1"
"1367876_at","importin 13","Ipo13"
"1367877_at","solute carrier family 11 member 2","Slc11a2"
"1367883_at","survival of motor neuron 1, telomeric","Smn1"
"1367885_at","peroxisomal membrane protein 2","Pxmp2"
"1367890_at","caspase 2","Casp2"
"1367891_a_at","caspase 2","Casp2"
"1367892_at","pyruvate dehydrogenase kinase 2","Pdk2"
"1367894_at","insulin induced gene 1","Insig1"
"1367896_at","carbonic anhydrase 3","Car3"
"1367897_at","acyl-CoA dehydrogenase, very long chain","Acadvl"
"1367898_at","BCL2 interacting protein 3 like","Bnip3l"
"1367899_at","coagulation factor II (thrombin) receptor","F2r"
"1367901_at","glucuronidase, beta","Gusb"
"1367905_at","ectonucleotide pyrophosphatase/phosphodiesterase 3","Enpp3"
"1367907_a_at","clathrin, light chain B","Cltb"
"1367909_at","dicarbonyl and L-xylulose reductase","Dcxr"
"1367910_at","SMAD family member 4","Smad4"
"1367911_at","isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha","Idh3a"
"1367912_at","latent transforming growth factor beta binding protein 1","Ltbp1"
"1367914_at","epithelial membrane protein 3","Emp3"
"1367925_at","major vault protein","Mvp"
"1367928_at","myosin heavy chain 7","Myh7"
"1367930_at","growth associated protein 43","Gap43"
"1367931_a_at","polypyrimidine tract binding protein 1","Ptbp1"
"1367932_at","3-hydroxy-3-methylglutaryl-CoA synthase 1","Hmgcs1"
"1367936_at","serine/threonine kinase 10","Stk10"
"1367938_at","UDP-glucose 6-dehydrogenase","Ugdh"
"1367939_at","retinol binding protein 1","Rbp1"
"1367941_at","transcription factor A, mitochondrial","Tfam"
"1367942_at","acid phosphatase 5, tartrate resistant","Acp5"
"1367943_at","NFKB inhibitor beta","Nfkbib"
"1367946_at","PDZ and LIM domain 1","Pdlim1"
"1367947_at","protein kinase AMP-activated non-catalytic subunit gamma 1","Prkag1"
"1367948_a_at","kinase insert domain receptor","Kdr"
"1367950_at","solute carrier family 22 member 5","Slc22a5"
"1367951_at","phosphoglycerate mutase 2","Pgam2"
"1367964_at","troponin I2, fast skeletal type","Tnni2"
"1367970_at","profilin 2","Pfn2"
"1367973_at","C-C motif chemokine ligand 2","Ccl2"
"1367977_at","synuclein alpha","Snca"
"1367978_at","adenylate cyclase 2","Adcy2"
"1367979_s_at","cytochrome P450, family 51","Cyp51"
"1367982_at","5'-aminolevulinate synthase 1","Alas1"
"1367983_at","flap structure-specific endonuclease 1","Fen1"
"1367985_at","5'-aminolevulinate synthase 2","Alas2"
"1367988_at","cytochrome P450, family 2, subfamily c, polypeptide 23","Cyp2c23"
"1367992_at","secretogranin V","Scg5"
"1367994_at","dihydropyrimidine dehydrogenase","Dpyd"
"1367995_at","catalase","Cat"
"1367998_at","secretory leukocyte peptidase inhibitor","Slpi"
"1368000_at","complement C3","C3"
"1368006_at","lysosomal protein transmembrane 5","Laptm5"
"1368007_at","deleted in malignant brain tumors 1","Dmbt1"
"1368010_at","protein tyrosine phosphatase, non-receptor type 6","Ptpn6"
"1368016_at","peroxisomal trans-2-enoyl-CoA reductase","Pecr"
"1368020_at","mevalonate diphosphate decarboxylase","Mvd"
"1368025_at","DNA-damage-inducible transcript 4","Ddit4"
"1368027_at","thromboxane A synthase 1","Tbxas1"
"1368031_at","nucleolar and coiled-body phosphoprotein 1","Nolc1"
"1368032_at","nucleolar and coiled-body phosphoprotein 1","Nolc1"
"1368033_at","nucleolar and coiled-body phosphoprotein 1","Nolc1"
"1368035_a_at","protein tyrosine phosphatase, receptor type, F","Ptprf"
"1368036_at","protein tyrosine phosphatase, receptor type, F","Ptprf"
"1368037_at","carbonyl reductase 1","Cbr1"
"1368048_at","serine (or cysteine) proteinase inhibitor, clade A, member 3C","Serpina3c"
"1368052_at","tetraspanin 8","Tspan8"
"1368062_at","adaptor related protein complex 3 subunit mu 1","Ap3m1"
"1368064_a_at","dopa decarboxylase","Ddc"
"1368066_at","BCL2-antagonist/killer 1","Bak1"
"1368072_at","BTG anti-proliferation factor 3","Btg3"
"1368074_at","UDP-galactose-4-epimerase","Gale"
"1368075_at","lipase A, lysosomal acid type","Lipa"
"1368077_at","fructose-bisphosphatase 1","Fbp1"
"1368078_at","endothelial cell-specific molecule 1","Esm1"
"1368079_at","pyruvate dehydrogenase kinase 1","Pdk1"
"1368083_at","cyclin H","Ccnh"
"1368086_a_at","lanosterol synthase","Lss"
"1368092_at","fumarylacetoacetate hydrolase","Fah"
"1368093_at","myosin heavy chain 6","Myh6"
"1368098_a_at","SNRPN upstream open reading frame","Snurf"
"1368102_at","hydroxysteroid 11-beta dehydrogenase 2","Hsd11b2"
"1368108_at","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1","Atp2a1"
"1368109_at","ST3 beta-galactoside alpha-2,3-sialyltransferase 5","St3gal5"
"1368114_at","fibroblast growth factor 13","Fgf13"
"1368121_at","aldo-keto reductase family 7 member A3","Akr7a3"
"1368123_at","insulin-like growth factor 1 receptor","Igf1r"
"1368124_at","dual specificity phosphatase 5","Dusp5"
"1368128_at","phospholipase A2 group IIA","Pla2g2a"
"1368134_a_at","interleukin 4 receptor","Il4r"
"1368137_at","microtubule-associated protein tau","Mapt"
"1368138_at","microtubule-associated protein tau","Mapt"
"1368142_at","annexin A7","Anxa7"
"1368143_at","annexin A7","Anxa7"
"1368144_at","regulator of G-protein signaling 2","Rgs2"
"1368149_at","hypoxia inducible factor 1 subunit alpha","Hif1a"
"1368150_at","solute carrier family 27 member 2","Slc27a2"
"1368159_at","ATP binding cassette subfamily B member 6","Abcb6"
"1368160_at","insulin-like growth factor binding protein 1","Igfbp1"
"1368161_a_at","alpha-2-HS-glycoprotein","Ahsg"
"1368163_at","dipeptidylpeptidase 4","Dpp4"
"1368164_at","biliverdin reductase A","Blvra"
"1368170_at","solute carrier family 6 member 1","Slc6a1"
"1368173_at","NOP58 ribonucleoprotein","Nop58"
"1368180_s_at","glutathione S-transferase alpha 2","Gsta2"
"1368182_at","acyl-CoA synthetase long-chain family member 6","Acsl6"
"1368184_at","proteasome 26S subunit, non-ATPase 9","Psmd9"
"1368186_a_at","spleen associated tyrosine kinase","Syk"
"1368187_at","glycoprotein nmb","Gpnmb"
"1368188_at","4-hydroxyphenylpyruvate dioxygenase","Hpd"
"1368189_at","7-dehydrocholesterol reductase","Dhcr7"
"1368191_a_at","solute carrier family 22 member 1","Slc22a1"
"1368199_at","nucleoporin 88","Nup88"
"1368202_a_at","DAB adaptor protein 2","Dab2"
"1368204_at","DNA ligase 1","Lig1"
"1368205_at","complement factor I","Cfi"
"1368207_at","FXYD domain-containing ion transport regulator 5","Fxyd5"
"1368212_at","casein kinase 2 beta","Csnk2b"
"1368213_at","cytochrome p450 oxidoreductase","Por"
"1368221_at","nuclear receptor subfamily 3, group C, member 1","Nr3c1"
"1368222_at","nuclear receptor subfamily 3, group C, member 1","Nr3c1"
"1368238_at","regenerating family member 3 beta","Reg3b"
"1368240_a_at","protein kinase C, beta","Prkcb"
"1368245_at","beta-ureidopropionase 1","Upb1"
"1368247_at","heat shock protein family A (Hsp70) member 1A","Hspa1a"
"1368252_at","kelch-like family member 41","Klhl41"
"1368253_at","guanidinoacetate N-methyltransferase","Gamt"
"1368254_a_at","sphingosine kinase 1","Sphk1"
"1368258_at","apelin","Apln"
"1368259_at","prostaglandin-endoperoxide synthase 1","Ptgs1"
"1368260_at","aurora kinase B","Aurkb"
"1368266_at","arginase 1","Arg1"
"1368268_at","thymine-DNA glycosylase","Tdg"
"1368269_at","galectin 4","Lgals4"
"1368271_a_at","fatty acid binding protein 4","Fabp4"
"1368272_at","glutamic-oxaloacetic transaminase 1","Got1"
"1368275_at","methylsterol monooxygenase 1","Msmo1"
"1368280_at","cathepsin C","Ctsc"
"1368283_at","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase","Ehhadh"
"1368288_at","GC, vitamin D binding protein","Gc"
"1368289_at","GC, vitamin D binding protein","Gc"
"1368291_at","baculoviral IAP repeat-containing 2","Birc2"
"1368292_at","dynamin 1","Dnm1"
"1368295_at","solute carrier organic anion transporter family, member 2b1","Slco2b1"
"1368296_at","solute carrier organic anion transporter family, member 2b1","Slco2b1"
"1368297_at","GATA binding protein 2","Gata2"
"1368304_at","flavin containing dimethylaniline monoxygenase 3","Fmo3"
"1368306_at","glutamate ionotropic receptor NMDA type subunit 2C","Grin2c"
"1368307_at","gamma-glutamyltransferase 7","Ggt7"
"1368308_at","MYC proto-oncogene, bHLH transcription factor","Myc"
"1368309_at","thioredoxin reductase 2","Txnrd2"
"1368317_at","aquaporin 7","Aqp7"
"1368321_at","early growth response 1","Egr1"
"1368322_at","superoxide dismutase 3","Sod3"
"1368325_at","epidermal growth factor","Egf"
"1368329_at","solute carrier family 22 member 6","Slc22a6"
"1368330_at","apoptosis antagonizing transcription factor","Aatf"
"1368332_at","guanylate binding protein 2","Gbp2"
"1368334_at","growth factor receptor bound protein 7","Grb7"
"1368335_at","apolipoprotein A1","Apoa1"
"1368341_at","DNA polymerase beta","Polb"
"1368344_at","glutamate decarboxylase 1","Gad1"
"1368347_at","collagen type V alpha 3 chain","Col5a3"
"1368360_at","plasminogen","Plg"
"1368362_a_at","asialoglycoprotein receptor 2","Asgr2"
"1368365_at","aldehyde dehydrogenase 3 family, member A2","Aldh3a2"
"1368368_a_at","lipolysis stimulated lipoprotein receptor","Lsr"
"1368370_at","adenylate cyclase 4","Adcy4"
"1368372_at","steroid sulfatase","Sts"
"1368378_at","aldehyde dehydrogenase 1 family, member L1","Aldh1l1"
"1368380_at","vitronectin","Vtn"
"1368387_at","3-hydroxybutyrate dehydrogenase 1","Bdh1"
"1368391_at","solute carrier family 7 member 1","Slc7a1"
"1368392_at","solute carrier family 7 member 1","Slc7a1"
"1368399_a_at","carboxypeptidase Q","Cpq"
"1368401_at","glutamate ionotropic receptor AMPA type subunit 2","Gria2"
"1368405_at","RAS like proto-oncogene A","Rala"
"1368406_at","steroidogenic acute regulatory protein","Star"
"1368411_a_at","microtubule-associated protein 2","Map2"
"1368417_at","synaptotagmin 5","Syt5"
"1368418_a_at","ceruloplasmin","Cp"
"1368419_at","ceruloplasmin","Cp"
"1368420_at","ceruloplasmin","Cp"
"1368424_at","inhibitor of nuclear factor kappa B kinase subunit beta","Ikbkb"
"1368426_at","carnitine O-octanoyltransferase","Crot"
"1368430_at","legumain","Lgmn"
"1368431_at","hepsin","Hpn"
"1368433_at","SAC1 like phosphatidylinositide phosphatase","Sacm1l"
"1368434_at","N-acetyltransferase 1","Nat1"
"1368442_at","coagulation factor II, thrombin","F2"
"1368446_at","serine peptidase inhibitor, Kazal type 1","Spink1"
"1368447_x_at","serine peptidase inhibitor, Kazal type 1","Spink1"
"1368452_at","ATP binding cassette subfamily C member 6","Abcc6"
"1368458_at","cytochrome P450 family 7 subfamily A member 1","Cyp7a1"
"1368460_at","solute carrier family 2 member 5","Slc2a5"
"1368461_at","solute carrier family 22 member 8","Slc22a8"
"1368462_at","inositol-trisphosphate 3-kinase A","Itpka"
"1368464_at","C-type lectin domain containing 10A","Clec10a"
"1368468_at","cytochrome P450, family 11, subfamily a, polypeptide 1","Cyp11a1"
"1368474_at","vascular cell adhesion molecule 1","Vcam1"
"1368475_at","collagen like tail subunit of asymmetric acetylcholinesterase","Colq"
"1368482_at","BCL2-related protein A1","Bcl2a1"
"1368487_at","serpin family B member 2","Serpinb2"
"1368488_at","nuclear factor, interleukin 3 regulated","Nfil3"
"1368489_at","FOS like 1, AP-1 transcription factor subunit","Fosl1"
"1368494_at","S100 calcium binding protein A8","S100a8"
"1368497_at","ATP binding cassette subfamily C member 2","Abcc2"
"1368501_s_at","mast cell protease 8-like 2","Mcpt8l2"
"1368504_at","lysosomal-associated membrane protein 1","Lamp1"
"1368514_at","monoamine oxidase B","Maob"
"1368518_at","Cd53 molecule","Cd53"
"1368519_at","serpin family E member 1","Serpine1"
"1368522_at","timeless circadian regulator","Timeless"
"1368527_at","prostaglandin-endoperoxide synthase 2","Ptgs2"
"1368543_at","NADPH oxidase 4","Nox4"
"1368544_a_at","nucleolar protein 3","Nol3"
"1368545_at","CASP8 and FADD-like apoptosis regulator","Cflar"
"1368553_at","activin A receptor like type 1","Acvrl1"
"1368555_at","CD37 molecule","Cd37"
"1368558_s_at","allograft inflammatory factor 1","Aif1"
"1368564_at","solute carrier family 17 member 6","Slc17a6"
"1368565_at","solute carrier family 1 member 3","Slc1a3"
"1368566_a_at","NADH:ubiquinone oxidoreductase subunit V3","Ndufv3"
"1368567_at","NADH:ubiquinone oxidoreductase subunit V3","Ndufv3"
"1368568_at","aquaporin 2","Aqp2"
"1368572_a_at","glutamate ionotropic receptor NMDA type subunit 1","Grin1"
"1368573_at","karyopherin subunit beta 1","Kpnb1"
"1368575_at","solute carrier family 6 member 18","Slc6a18"
"1368587_at","apolipoprotein C1","Apoc1"
"1368592_at","interleukin 1 alpha","Il1a"
"1368600_at","solute carrier family 26 member 1","Slc26a1"
"1368601_at","solute carrier family 6 member 3","Slc6a3"
"1368602_at","solute carrier family 6 member 3","Slc6a3"
"1368607_at","cytochrome P450, family 4, subfamily a, polypeptide 8","Cyp4a8"
"1368608_at","cytochrome P450, family 2, subfamily f, polypeptide 4","Cyp2f4"
"1368609_at","solute carrier family 10 member 1","Slc10a1"
"1368618_at","growth factor receptor bound protein 14","Grb14"
"1368620_at","sperm associated antigen 4","Spag4"
"1368621_at","aquaporin 9","Aqp9"
"1368627_at","regucalcin","Rgn"
"1368642_at","cadherin 2","Cdh2"
"1368645_at","protein tyrosine phosphatase, non-receptor type 1","Ptpn1"
"1368646_at","mitogen-activated protein kinase 9","Mapk9"
"1368651_at","pyruvate kinase L/R","Pklr"
"1368652_at","caspase 9","Casp9"
"1368656_at","secretogranin III","Scg3"
"1368659_at","alanine-glyoxylate aminotransferase 2","Agxt2"
"1368661_at","solute carrier family 13 member 2","Slc13a2"
"1368671_at","sushi-repeat-containing protein, X-linked","Srpx"
"1368673_at","discoidin domain receptor tyrosine kinase 2","Ddr2"
"1368674_at","glycogen phosphorylase L","Pygl"
"1368677_at","brain-derived neurotrophic factor","Bdnf"
"1368678_at","brain-derived neurotrophic factor","Bdnf"
"1368679_a_at","LYN proto-oncogene, Src family tyrosine kinase","Lyn"
"1368686_at","alpha-1-microglobulin/bikunin precursor","Ambp"
"1368687_at","testis associated actin remodelling kinase 1","Tesk1"
"1368693_at","FGR proto-oncogene, Src family tyrosine kinase","Fgr"
"1368695_at","complement component 4 binding protein, beta","C4bpb"
"1368707_at","inter-alpha-trypsin inhibitor heavy chain 4","Itih4"
"1368708_a_at","dopamine receptor D2","Drd2"
"1368709_at","fucosyltransferase 1","Fut1"
"1368720_at","tryptophan 2,3-dioxygenase","Tdo2"
"1368725_at","jagged canonical Notch ligand 1","Jag1"
"1368728_at","purinergic receptor P2Y12","P2ry12"
"1368731_at","orosomucoid 1","Orm1"
"1368733_at","sulfotransferase family 1E member 1","Sult1e1"
"1368739_s_at","cytochrome P450, family 11, subfamily b, polypeptide 2","Cyp11b2"
"1368739_s_at","cytochrome P450, family 11, subfamily b, polypeptide 3","Cyp11b3"
"1368741_at","complement C9","C9"
"1368742_at","complement C5a receptor 1","C5ar1"
"1368745_at","solute carrier family 10 member 2","Slc10a2"
"1368754_at","pyrimidinergic receptor P2Y6","P2ry6"
"1368760_at","C-X-C motif chemokine ligand 2","Cxcl2"
"1368769_at","ATP binding cassette subfamily B member 11","Abcb11"
"1368773_at","centromere protein I","Cenpi"
"1368792_at","presenilin 1","Psen1"
"1368794_at","3-hydroxyanthranilate 3,4-dioxygenase","Haao"
"1368797_at","nuclear receptor subfamily 1, group I, member 3","Nr1i3"
"1368799_at","baculoviral IAP repeat-containing 5","Birc5"
"1368813_at","CCAAT/enhancer binding protein delta","Cebpd"
"1368814_at","aldehyde dehydrogenase 6 family, member A1","Aldh6a1"
"1368819_at","integrin subunit beta 1","Itgb1"
"1368821_at","follistatin-like 1","Fstl1"
"1368822_at","follistatin-like 1","Fstl1"
"1368826_at","catechol-O-methyltransferase","Comt"
"1368830_at","SRC proto-oncogene, non-receptor tyrosine kinase","Src"
"1368832_at","AKT serine/threonine kinase 2","Akt2"
"1368835_at","signal transducer and activator of transcription 1","Stat1"
"1368839_at","wolframin ER transmembrane glycoprotein","Wfs1"
"1368840_at","transmembrane protein 176B","Tmem176b"
"1368841_at","transcription factor 4","Tcf4"
"1368842_at","transcription factor 4","Tcf4"
"1368843_at","YME1-like 1 ATPase","Yme1l1"
"1368851_at","ETS proto-oncogene 1, transcription factor","Ets1"
"1368855_at","immunoglobulin mu DNA binding protein 2","Ighmbp2"
"1368856_at","Janus kinase 2","Jak2"
"1368861_a_at","myelin-associated glycoprotein","Mag"
"1368862_at","AKT serine/threonine kinase 1","Akt1"
"1368870_at","inhibitor of DNA binding 2","Id2"
"1368872_a_at","homer scaffold protein 2","Homer2"
"1368877_at","zinc finger protein 354A","Zfp354a"
"1368878_at","isopentenyl-diphosphate delta isomerase 1","Idi1"
"1368887_at","cadherin 22","Cdh22"
"1368900_at","thrombomodulin","Thbd"
"1368901_at","thrombomodulin","Thbd"
"1368903_at","spermatid perinuclear RNA binding protein","Strbp"
"1368908_at","annexin A4","Anxa4"
"1368914_at","RUNX family transcription factor 1","Runx1"
"1368915_at","kynurenine 3-monooxygenase","Kmo"
"1368921_a_at","CD44 molecule","Cd44"
"1368924_at","growth hormone receptor","Ghr"
"1368934_at","cytochrome P450, family 4, subfamily a, polypeptide 1","Cyp4a1"
"1368941_at","prostaglandin E receptor 4","Ptger4"
"1368947_at","growth arrest and DNA-damage-inducible, alpha","Gadd45a"
"1368948_at","moesin","Msn"
"1368950_a_at","glutamate ionotropic receptor NMDA type subunit 2D","Grin2d"
"1368951_at","glutamate ionotropic receptor NMDA type subunit 2D","Grin2d"
"1368952_at","gamma-aminobutyric acid type B receptor subunit 2","Gabbr2"
"1368955_at","calcium/calmodulin dependent serine protein kinase","Cask"
"1368956_at","protocadherin 8","Pcdh8"
"1368960_at","galectin 8","Lgals8"
"1368967_at","eukaryotic translation initiation factor 2B subunit gamma","Eif2b3"
"1368983_at","heparin-binding EGF-like growth factor","Hbegf"
"1368985_at","glutamate ionotropic receptor NMDA type subunit 2A","Grin2a"
"1368990_at","cytochrome P450, family 1, subfamily b, polypeptide 1","Cyp1b1"
"1369000_at","neurotrophic receptor tyrosine kinase 1","Ntrk1"
"1369002_at","sterol O-acyltransferase 1","Soat1"
"1369008_a_at","olfactomedin 1","Olfm1"
"1369009_at","serpin family H member 1","Serpinh1"
"1369010_at","checkpoint kinase 2","Chek2"
"1369012_at","inhibin subunit beta A","Inhba"
"1369015_at","nitric oxide synthase 1","Nos1"
"1369020_at","solute carrier family 5 member 5","Slc5a5"
"1369029_at","phospholipid scramblase 1","Plscr1"
"1369032_at","BLCAP, apoptosis inducing factor","Blcap"
"1369033_at","luteinizing hormone/choriogonadotropin receptor","Lhcgr"
"1369036_at","glutamate ionotropic receptor kainate type subunit 2","Grik2"
"1369057_at","syntaxin binding protein 2","Stxbp2"
"1369061_at","glutathione-disulfide reductase","Gsr"
"1369067_at","nuclear receptor subfamily 4, group A, member 3","Nr4a3"
"1369073_at","nuclear receptor subfamily 1, group H, member 4","Nr1h4"
"1369077_at","N-acylsphingosine amidohydrolase 1","Asah1"
"1369078_at","mitogen activated protein kinase 1","Mapk1"
"1369082_at","DNA fragmentation factor subunit alpha","Dffa"
"1369083_at","cold inducible RNA binding protein","Cirbp"
"1369085_s_at","SNRPN upstream open reading frame","Snurf"
"1369088_at","erb-b2 receptor tyrosine kinase 3","Erbb3"
"1369098_at","very low density lipoprotein receptor","Vldlr"
"1369101_at","retinoid X receptor alpha","Rxra"
"1369102_at","mitogen activated protein kinase 10","Mapk10"
"1369103_at","FYN proto-oncogene, Src family tyrosine kinase","Fyn"
"1369104_at","protein kinase AMP-activated catalytic subunit alpha 1","Prkaa1"
